run,benchmark,ratio,ratio_lower,ratio_upper
bz_base_fine,division_tuning_x86_64/bz_base_split_over_knuth/200,1.0172199664969601,1.0147571083492763,1.0200269043779504
bz_base_fine,division_tuning_x86_64/bz_base_split_over_knuth/204,1.0106155369458154,1.0074161133612782,1.0150233080110147
bz_base_fine,division_tuning_x86_64/bz_base_split_over_knuth/208,1.0016196295075712,0.9997540854790877,1.0036310538037103
bz_base_fine,division_tuning_x86_64/bz_base_split_over_knuth/212,1.0000466156220025,0.9967314317935612,1.0039843410728062
bz_base_fine,division_tuning_x86_64/bz_base_split_over_knuth/216,0.9996451076450914,0.9976647750098965,1.0021192057803625
bz_base_fine,division_tuning_x86_64/bz_base_split_over_knuth/220,0.9914104722060992,0.9896249069063857,0.993412555957327
bz_base_fine,division_tuning_x86_64/bz_base_split_over_knuth/224,0.9854872592658229,0.9832899687822081,0.9875533474639576
bz_base_fine,division_tuning_x86_64/bz_base_split_over_knuth/232,0.9727848750996029,0.9713622367464292,0.9742961158756356
rcp_fine,division_tuning_x86_64/dyn_rcp/10,1.1257082149269362,1.1169460316180382,1.1360761236160717
rcp_fine,division_tuning_x86_64/dyn_rcp/11,0.9956190777400216,0.992219837822749,0.9989404813668509
rcp_fine,division_tuning_x86_64/dyn_rcp/12,0.9817458373449317,0.9749792353928188,0.9902572642721128
rcp_fine,division_tuning_x86_64/dyn_rcp/13,0.9474778082929027,0.929184733812417,0.9665922390278564
rcp_fine,division_tuning_x86_64/dyn_rcp/14,0.9185939583902051,0.9003432675061631,0.9401076167732639
rcp_fine,division_tuning_x86_64/dyn_rcp/15,0.7995041122074585,0.7957999741427018,0.8029547890329516
rcp_fine,division_tuning_x86_64/dyn_rcp/16,0.9096465651241119,0.9050807645320782,0.9152773878229897
rcp_fine,division_tuning_x86_64/dyn_rcp/9,1.2790116055207437,1.2527559826853745,1.3127498176354886
shared88_top_final,bz_top_block_dispatch_ratio_x86_64/padded_over_knuth/1.650x,1.02932628,1.025801666,1.033003281
shared88_top_final,bz_top_block_dispatch_ratio_x86_64/padded_over_knuth/1.700x,1.00700078,1.004518236,1.00971688
shared88_top_final,bz_top_block_dispatch_ratio_x86_64/padded_over_knuth/1.750x,0.96838978,0.9651522345,0.9720493005
shared88_boundary_div,division_tuning_x86_64/dyn_div_karatsuba/0.6000,1.0112798079223964,1.006610684831729,1.0163377510000564
shared88_boundary_div,division_tuning_x86_64/dyn_div_karatsuba/0.7500,0.8589805182241889,0.8572800714689405,0.8606634235124405
shared88_boundary_div,division_tuning_x86_64/dyn_div_karatsuba/0.9000,0.7410754153851713,0.7395877026881853,0.7426779881069219
shared88_boundary_rem,division_tuning_x86_64/dyn_rem_karatsuba/3.5000,1.5479243978814303,1.5417219938056703,1.5546153088382184
shared88_boundary_rem,division_tuning_x86_64/dyn_rem_karatsuba/4.4000,1.6088402295725333,1.6041209774439458,1.614007207599136
shared88_boundary_rem,division_tuning_x86_64/dyn_rem_karatsuba/5.3000,1.723591160892899,1.7189196446354726,1.728354725297895
shared88_transform_div_final,division_tuning_x86_64/dyn_div_transform/5.4000,1.0656040333333334,1.0597787966666665,1.0720034558333333
shared88_transform_div_final,division_tuning_x86_64/dyn_div_transform/5.5400,0.9614174,0.9570140308333334,0.96587151
shared88_transform_div_final,division_tuning_x86_64/dyn_div_transform/5.7000,0.9040014666666667,0.8995019816666667,0.9087761533333333
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d128_q16,1.9465781595572773,1.9199866677663557,1.9791628986708854
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d128_q32,1.4347164916916453,1.4222896390028685,1.4497602352797216
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d128_q8,2.317630249811096,2.311348939216391,2.3231878415939198
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d160_q10,2.0817958136969623,2.0753976762087953,2.0887689957370354
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d160_q20,2.0108732958647635,1.9999375497067113,2.0233037607433917
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d160_q40,1.456007033022306,1.4494016313380487,1.4628371068782628
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d160_q8,2.235986072240601,2.2138605341099944,2.262593998568916
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d192_q12,2.2071038895092796,2.1984819261399755,2.2157577246548805
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d192_q24,1.4857013716054888,1.4822816843321673,1.4892501665786952
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d192_q48,1.3500407962476917,1.341607859613071,1.3585866484867006
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d192_q8,2.2337959177244167,2.222041864687871,2.244689520112639
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d96_q12,2.1764538858344302,2.1666415526407468,2.1881750713032413
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d96_q24,1.5971223645295103,1.5915842731371317,1.6030793040492626
shared88_shortq_rem,division_tuning_x86_64/dyn_rem_grid/d96_q8,2.280719170964168,2.2544814135038442,2.3121002939960587
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d128_q128,0.7367983456284725,0.733863553716842,0.7402221283903827
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d128_q512,1.2394888168119635,1.2356017863961675,1.2440447998431479
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d128_q64,0.4825404027569227,0.4809180474841325,0.4840415944926194
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d16_q16,1.3613043576636985,1.3403844752363043,1.3872466399621737
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d16_q64,1.698945767246145,1.6948099948549724,1.7035924359028356
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d16_q8,1.6969561987870732,1.6909741964232994,1.703148631611657
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d192_q192,0.7843111099368,0.7806741638599809,0.7882910352678413
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d192_q768,0.9393988542621265,0.9345250373338334,0.944345168463046
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d192_q96,0.42816740156080585,0.426907916576225,0.4294088614304079
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d224_q112,0.4071723712096615,0.40615819973441614,0.40813938009645534
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d224_q224,0.7298913337783642,0.725969679528826,0.7355322722667405
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d224_q896,0.8085674664442739,0.8040794733432004,0.8132503629056441
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d24_q12,1.2164621669347913,1.210455926204794,1.2234399397745523
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d24_q24,1.0611885708286897,1.0537310187948221,1.0707540056844325
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d24_q96,1.816043981387141,1.8109734855364903,1.8220448961314133
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d32_q128,1.9708187044610055,1.9655528583186732,1.9767895538699198
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d32_q16,0.9908496571094476,0.9888228384749208,0.9927701845020466
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d32_q32,0.9482387267024652,0.9454167707983077,0.9511419102346743
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d48_q192,2.295558473087524,2.287554860920047,2.3042534178100467
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d48_q24,0.727635124167669,0.7248836548159778,0.7308562932708854
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d48_q48,0.8311466856056114,0.8289522508652957,0.8335022519625281
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d64_q256,2.1013863893341553,2.093914620001477,2.1103690413207463
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d64_q32,0.597400115851541,0.5954998149029425,0.5994201167697358
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d64_q64,0.8154386399526444,0.8133660300200809,0.8175631659073846
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d88_q352,2.021149326548897,2.0153621454860393,2.027183491666382
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d88_q44,0.5363234118276609,0.5340760137174622,0.5387693397244677
div_knuth_direct,division_tuning_x86_64/dyn_div_knuth/d88_q88,0.7297102820123198,0.7279034674322616,0.7315992232238142
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d128_q128,1.4099308833320556,1.405885816812123,1.4140763176513864
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d128_q512,1.4202067810868029,1.4155691397046217,1.4251164959506522
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d128_q64,1.3443670636100264,1.3386085381540795,1.3516447271113694
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d16_q16,2.215698682953477,2.2078964491967303,2.223185431761199
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d16_q64,1.8272942946048782,1.8216281497848181,1.832963637037104
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d16_q8,2.5316257029239058,2.523481544188616,2.541208566662618
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d192_q192,1.4162921175530176,1.4112601402794285,1.4216602016481654
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d192_q768,1.1123271405450146,1.107695856441475,1.1175028552148973
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d192_q96,1.2632787215116836,1.259848389530949,1.266461944700214
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d224_q112,0.857303321522485,0.8540385776264107,0.8612837904630597
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d224_q224,1.0163872834650014,1.010938529929338,1.0231353648482835
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d224_q896,0.8936742989336537,0.8895243284691536,0.8980340881436755
