family,corpus,d,q,before_algorithm,after_algorithm,before_ns,after_ns,after_over_before,before_lower_ns,before_upper_ns,after_lower_ns,after_upper_ns
dyn_div,boundary,192,576,NR,NR,198354.84810949236,201324.9346629254,1.0149736020154825,197440.79691424817,199510.28842848554,200020.90454809027,202689.22303099988
dyn_div,large,1573,12584,NR,NR,17716143.766666666,17420450.2,0.9833093719174361,17623851.272916667,17817252.801250003,17309814.8525,17536488.949583333
dyn_div,boundary,88,264,Knuth,Knuth,54817.45416881178,53944.01721888172,0.9840664444714946,54471.230041010866,55190.70299575579,53490.39765702979,54408.585009547875
dyn_div,boundary,96,768,BZ,Knuth,193378.57028443206,173968.12319187462,0.8996246219836693,191561.62223243777,195806.2722858706,172842.42089920785,175052.7049971785
dyn_div,large,3109,9327,NR,NR,14786789.122222224,14539778.177777776,0.9832951601322812,14713800.560277777,14866148.965833336,14448127.053333336,14637630.747499999
dyn_div,boundary,216,648,NR,NR,228148.49074746136,236497.02495394181,1.0365925462804024,226495.73445587236,230160.28479007262,227861.316844168,247140.21897631444
dyn_div,boundary,224,672,NR,NR,253734.12863702484,261745.51982369315,1.0315739598362381,252782.0637705673,254771.6477362316,258606.66986800858,265175.72216364316
dyn_div,large,787,2361,NR,NR,895108.3015409452,880039.3690528362,0.9831652410527669,890413.6519106133,900515.3858533329,872501.0782531105,889230.6416980047
dyn_div,boundary,89,267,BZ,Knuth,66936.2760449827,55073.29885142624,0.822772076749769,65617.85327159302,69052.8725970086,54492.776504841495,55872.537227807086
dyn_div,boundary,217,217,NR,NR,69304.83809788969,69399.64201296293,1.0013679263623605,66370.17763044813,72932.9712732606,68423.71740433305,70390.72169304846
dyn_div,large,3109,1555,NR,NR,573380.9214381328,575672.092491763,1.0039958969124463,570304.5367309322,577200.1572531245,572597.0337543653,579287.4250276174
dyn_div,boundary,192,1536,BZ,Knuth,641961.8912286394,604122.0933562644,0.9410560059882151,637202.0982905533,646910.6018849708,597828.1671952931,611819.405961349
dyn_div,boundary,88,704,Knuth,Knuth,147108.59911592677,142620.78639510006,0.9694931992568963,145400.55099931153,148772.6548724088,141092.62293271846,144564.82413386105
dyn_div,large,4096,12288,NR,NR,5752106.549999999,5711600.838888889,0.9929581083453488,5712852.883194445,5791490.868055558,5681261.134722223,5744604.366388889
dyn_div,large,384,1152,NR,NR,419124.2160244445,420109.81429325166,1.002351566030128,417073.9674506614,421266.60291289515,417535.7022367436,422954.7927816294
dyn_div,large,1573,4719,NR,NR,2014717.8094912148,2019651.6329390693,1.0024488905714792,2003629.5368575042,2027415.7755763207,2002868.583835976,2038417.3830818387
dyn_div,large,4096,32768,NR,NR,16978041.616666667,17074867.033333335,1.0057029791098886,16832979.99125,17192190.237916667,16958832.692083333,17201728.675833333
dyn_div,boundary,96,288,BZ,Knuth,71973.77473711377,64384.8506694833,0.8945598713510688,71523.02542516388,72639.4451968072,64021.82784737794,64796.87773021773
dyn_div,large,3109,24872,NR,NR,41267196.9,40379727.266666666,0.9784945501512041,41041806.58,41505831.207499996,40179535.844166666,40582812.35666666
dyn_div,large,787,6296,NR,NR,7519993.213333334,7325353.933333334,0.9741170936624125,7432873.043333335,7623458.608833334,7277670.093000001,7377381.122833333
dyn_div,boundary,96,96,NR,NR,15461.593673656123,15963.471706223694,1.0324596573393778,15360.184268315978,15566.215895145544,15828.631248728052,16115.346403860462
dyn_div,boundary,88,44,Knuth,Knuth,9218.683300965586,8980.275638144809,0.974138642684926,9175.455690373925,9263.547328660208,8956.895865614591,9005.559284241508
dyn_div,large,1573,787,NR,NR,299389.1258143377,301425.3087771085,1.0068011253155318,296696.5823656147,302476.76114550635,299088.6286874918,304150.6220008302
dyn_div,boundary,216,1728,NR,NR,730139.0109807368,735661.500242031,1.0075636134739276,721499.2474900682,741018.3495645145,729136.6065730868,743905.0923930734
dyn_div,boundary,217,651,NR,NR,234375.92481734577,230972.10721557023,0.9854771022048096,225765.8500645211,245130.7877940306,225899.62599048525,239411.83141750123
dyn_div,large,3109,3109,NR,NR,1411061.225082408,1415002.4828431858,1.0027931160538748,1397799.210492055,1427451.3101183914,1397384.5211352159,1436930.8491279606
dyn_div,boundary,217,109,NR,NR,19936.503791907275,20187.348402020343,1.0125821765306158,19138.50107915843,20894.993081215845,19906.525813161403,20454.079631205786
dyn_div,boundary,224,1792,NR,NR,663092.1893446897,679659.3122068194,1.0249846448628845,659316.3091580734,666999.5135255089,672943.9265409028,687113.1282700028
dyn_div,large,384,3072,NR,NR,1139435.4174684533,1143521.4340656023,1.0035860010444708,1131879.2887876937,1149035.7091289996,1134660.4365388362,1154054.4998232473
dyn_div,boundary,192,96,NR,NR,15467.103639470712,15900.29362886455,1.0280071821778174,15374.28218710173,15560.550928110115,15724.801427089747,16096.634889868677
dyn_div,boundary,89,45,NR,NR,4821.901894571992,4834.2705390764195,1.0025650966724045,4758.854551876116,4898.0699103244615,4798.496831658216,4875.731160040664
dyn_div,large,384,192,NR,NR,57353.33886510139,58717.033291306885,1.0237770712776284,57066.81484820853,57675.06473004174,58137.65396648292,59354.667139407844
dyn_div,large,4096,2048,NR,NR,803273.7409512983,831344.980557471,1.0349460441379905,797060.2728706276,810258.5762160862,797813.5863212661,872659.5218323974
dyn_div,boundary,96,48,NR,NR,5290.479269849546,5423.476850229448,1.0251390419650364,5252.827977359535,5335.036246112743,5343.308600205703,5548.271367032213
dyn_div,boundary,89,89,NR,NR,13673.931029404814,13554.192364842404,0.9912432888315057,13460.002194805416,13957.06128303558,13486.20600474856,13629.256252972305
dyn_div,large,787,787,NR,NR,279720.33097075956,276147.37012864574,0.987226667329779,277807.3205171374,281689.7365726527,275009.147798565,277401.1582189673
dyn_div,boundary,88,88,Knuth,Knuth,18280.857489612983,18222.77711671863,0.9968228857466147,18206.609698685574,18363.165539736114,18134.657841373628,18326.84308349818
dyn_div,boundary,192,192,NR,NR,57995.626888720166,58110.9036376545,1.0019876800220733,57687.42250494462,58317.115026795174,57804.647863210594,58451.59071920592
dyn_div,boundary,224,112,NR,NR,20582.954061279404,21243.975897308148,1.032115012940356,20290.17269163624,20988.537758022358,20785.723910543275,21803.672791308618
dyn_div,boundary,217,1736,NR,NR,738366.6294094367,710035.2516825555,0.9616296612029429,708968.9388029962,774896.9337196535,704458.342371647,715709.1033062834
dyn_div,large,384,384,NR,NR,163132.78567827094,170413.5476856644,1.0446308936436144,162268.8881630556,164054.7743105755,163689.71652049248,178691.36514681522
dyn_div,boundary,216,216,NR,NR,66053.61612371016,65916.43290412913,0.9979231535284291,65652.2235833909,66545.6124099147,65578.18806494585,66323.02429261865
dyn_div,boundary,216,108,NR,NR,19176.64650974956,19176.762374964324,1.0000060419956485,19075.153699897233,19288.935612072848,19076.776307645945,19277.84297843082
dyn_div,large,1573,1573,NR,NR,616574.4019589934,608879.2673086383,0.9875195359620738,612453.8902375189,620929.0001026406,603414.6563151522,615804.486565936
dyn_div,boundary,89,712,BZ,Knuth,175698.35964997244,145797.20184799316,0.829815384380659,173763.7228990603,178064.64767054818,145027.17923705562,146709.80838356278
dyn_div,large,4096,4096,NR,NR,1709869.3952140019,1766161.0175980923,1.0329215918722525,1694769.6050406503,1728561.650925577,1745266.07938757,1787872.3837885342
dyn_div,large,787,394,NR,NR,169276.5016617485,169747.2459882305,1.0027809195125184,167359.20040302485,171813.2596019035,167803.30003477543,172499.2510692134
dyn_div,boundary,224,224,NR,NR,72680.35828552954,73146.31825973566,1.0064110852670205,72014.2754685758,73487.5827902191,71935.00737142023,74639.14469630586
dyn_rem,boundary,192,576,NR,NR,261070.61860736695,250537.00016820928,0.959652225534427,256967.0053937315,265362.8764510907,248992.21755406694,252335.2163688133
dyn_rem,large,1573,12584,NR,NR,17738595.0,17267116.966666665,0.9734207791917379,17664176.369583335,17829921.67083333,17194453.35,17354216.555000003
dyn_rem,boundary,88,264,Knuth,Knuth,54234.48530100502,54780.98325258211,1.0100765767121047,53915.085610999304,54633.823510138674,53697.813380527354,56495.20466735302
dyn_rem,boundary,96,768,BZ,Knuth,194210.17211048774,171053.2334517053,0.880763513017185,192187.42469356454,196745.13777532772,170102.09274240534,172226.9212729565
dyn_rem,large,3109,9327,NR,NR,14764345.166666664,14570379.666666668,0.9868625734625934,14680716.764444446,14859897.91805556,14436913.92111111,14744790.92416667
dyn_rem,boundary,216,648,NR,NR,300489.6632977816,258764.3533548106,0.8611422786226701,284185.2669428604,316952.6015024463,256277.43871801748,261495.53607184757
dyn_rem,boundary,224,672,NR,NR,285418.73790757265,284848.5315659147,0.9980022112569126,283707.64242183726,287433.9580861573,283558.4868157118,286157.8549838337
dyn_rem,large,787,2361,NR,NR,1085001.9305483548,1091251.9907312808,1.005760413882183,1039822.0719573853,1138700.4389559026,1058214.8961419098,1134655.2756669025
dyn_rem,boundary,89,267,BZ,Knuth,64771.33778672641,54583.611899509364,0.8427124367762431,64240.717313909125,65426.94319893921,54357.11238454831,54838.642252999554
dyn_rem,boundary,217,217,NR,NR,124280.05163949552,123817.32302831596,0.996276726593888,123291.2840852275,125475.08053844004,122996.48188633317,124794.08542577924
dyn_rem,large,3109,1555,NR,NR,972994.0682633958,983784.4651193129,1.0110898896590148,966834.5493283224,980205.5619478773,977107.7431347233,991536.8862511929
dyn_rem,boundary,192,1536,BZ,Knuth,672860.5740847139,600597.2651212633,0.8926028485741645,655996.8273776032,694666.8346939423,597538.7549770131,603799.2698318867
dyn_rem,boundary,88,704,Knuth,Knuth,142021.92584352178,140184.08753624914,0.9870594748215318,141222.4609097845,142857.82099101244,139402.45802541374,141045.1404419126
dyn_rem,large,4096,12288,NR,NR,6567574.786666665,6627056.3222222235,1.0090568493679457,6493902.066833335,6661293.277166666,6580223.5736111095,6674574.390416666
dyn_rem,large,384,1152,NR,NR,502553.4226584331,486958.2706109377,0.9689681706573614,483341.45370842394,526489.688936949,484813.8866322655,489264.0808805933
dyn_rem,large,1573,4719,NR,NR,2365932.743773888,2276401.1457939874,0.9621580122192784,2332734.2359498017,2407019.789397141,2263264.182715065,2292094.2799801705
dyn_rem,large,4096,32768,NR,NR,18445983.566666666,17796752.033333335,0.964803637009276,18261261.059583332,18654986.161666665,17665623.31833333,17939956.84375
dyn_rem,boundary,96,288,BZ,Knuth,74084.08677054681,64312.90138856533,0.868106825528608,73464.72173958225,74724.30761462013,63991.139722439664,64649.655941239995
dyn_rem,large,3109,24872,NR,NR,43525591.06666667,40020020.13333333,0.9194595444329757,40882053.56,46863015.17666667,39848394.178333335,40206249.535000004
dyn_rem,large,787,6296,NR,NR,7466278.22,7423248.7266666675,0.9942368216043612,7405307.4756666655,7550861.982166664,7381021.326000002,7467231.037666666
dyn_rem,boundary,96,96,BZ,Knuth,24565.514268580162,21636.15463385786,0.8807531728139305,24325.43343255401,24830.493288789778,21458.093758718936,21850.66591386302
dyn_rem,boundary,88,44,Knuth,Knuth,9140.087807281081,9007.250877742134,0.9854665587093017,9090.442412280066,9193.497854143956,8908.396979044745,9153.293523678722
dyn_rem,large,1573,787,NR,NR,514898.90126745385,506371.9352378518,0.9834395334528537,495113.3853098664,539083.2958893889,501777.4183172473,512221.8253081382
dyn_rem,boundary,216,1728,BZ,Knuth,756268.9121070743,749460.9110739942,0.9909979097063345,752343.1522944946,760516.8568272896,744741.78957963,754960.6029425078
dyn_rem,boundary,217,651,NR,NR,256974.2093708917,260435.32674276546,1.0134687343930235,254037.4347765199,261285.65390668393,257649.55799178357,263563.3261106837
dyn_rem,large,3109,3109,NR,NR,2062540.1493758736,2092235.490706809,1.0143974609851456,2043761.5703508572,2088851.0089452094,2079807.0102799195,2105991.2008207855
dyn_rem,boundary,217,109,NR,NR,41882.638194879124,42089.41636214168,1.0049370855365038,41569.24446334874,42239.71121468001,41479.34527305865,43106.73198371976
dyn_rem,boundary,224,1792,BZ,BZ,796561.4062398829,764767.7684237319,0.9600863943858002,791816.0743241264,802234.6241372903,761421.5738392243,768269.0824011154
dyn_rem,large,384,3072,NR,NR,1291879.451719303,1256961.146455941,0.972970926028051,1242487.2904903733,1353904.4178206,1246462.5288286922,1269301.4216686399
dyn_rem,boundary,192,96,NR,NR,48016.43575978206,48230.65650808092,1.004461404619255,47664.81684504886,48392.310206711365,47799.65604184875,48709.67024728693
dyn_rem,boundary,89,45,BZ,Knuth,10123.077805722396,9331.848014703217,0.9218390092218879,9778.918493849329,10541.987964847423,9259.828422395565,9418.492257534584
dyn_rem,large,384,192,NR,NR,97771.23431501772,97977.69655345184,1.0021116869381939,96768.07475418758,98987.78889451452,96356.83811031902,99910.39524251838
dyn_rem,large,4096,2048,NR,NR,1374511.9081774396,1327157.9004959748,0.9655484922322319,1344808.850269791,1412446.9243858124,1319486.2842129816,1336243.1560856034
dyn_rem,boundary,96,48,BZ,Knuth,11528.699270691739,11041.362254597794,0.9577283607932378,11419.742524961406,11659.310878874712,10905.778313238692,11269.97263394786
dyn_rem,boundary,89,89,BZ,Knuth,22108.990423690884,18667.954347076316,0.8443603253395358,21958.18998695998,22278.25018077222,18555.560621486133,18800.363900030996
dyn_rem,large,787,787,NR,NR,405811.9878668038,408121.4233319838,1.005690900057733,403332.63329995016,408493.44914356153,403842.01695743395,412733.4955745386
dyn_rem,boundary,88,88,Knuth,Knuth,18457.956298794823,18390.001079334947,0.9963183779200782,18336.285272409266,18610.668828332156,18261.199383411247,18522.651884472118
dyn_rem,boundary,192,192,NR,NR,108473.31367014449,106638.32920291625,0.9830835400418556,107568.33436317973,109483.4324569378,106190.44398813986,107138.98217978621
dyn_rem,boundary,224,112,NR,NR,42694.37695210943,42401.758089263276,0.9931461966718853,42426.573680355235,42986.78036452324,42154.787273867114,42663.624204114414
dyn_rem,boundary,217,1736,BZ,BZ,765399.6090165708,747319.2760017082,0.976377917101247,760255.8303892196,771113.9127518173,720841.186848943,779555.9464092765
dyn_rem,large,384,384,NR,NR,213264.65873185176,213332.45211798427,1.0003178838281768,212109.26911058166,214495.91047727145,212344.5160162647,214437.2387906965
dyn_rem,boundary,216,216,NR,NR,126006.51087934282,124418.40557019072,0.9873966408714167,124312.8476769885,128177.0232179012,123466.4635363,125577.74873550484
dyn_rem,boundary,216,108,NR,NR,41306.076702842336,39693.60702113237,0.9609628943143126,40732.385083445944,41974.20016750616,39538.97808548594,39859.59995885802
dyn_rem,large,1573,1573,NR,NR,924872.4499815042,885354.4713369847,0.9572719690749683,891125.7384998387,967311.4965904801,879702.3586656093,891652.1985561035
dyn_rem,boundary,89,712,BZ,Knuth,175981.1432610025,151670.13606793614,0.8618544763230114,174185.6777652353,177912.8766629015,146894.2645891703,157535.66430606175
dyn_rem,large,4096,4096,NR,NR,2495244.9553311495,2512926.1371705565,1.0070859503399179,2474702.1265729694,2517804.4354806044,2464691.922934972,2568868.5742642614
dyn_rem,large,787,394,NR,NR,257432.51183039093,265320.12624811346,1.0306395426189185,256207.36647054894,258684.81623921497,261981.54739517675,268768.6821943598
dyn_rem,boundary,224,224,NR,NR,99922.38149692891,104004.75331653564,1.040855429568922,98726.71848446959,101388.29050012455,100699.7612177895,107915.79056576904
