family,corpus,d,q,before_ns,after_ns,after_over_before,before_lower_ns,before_upper_ns,after_lower_ns,after_upper_ns
dyn_rem,regular,4096,12288,6865372.013333332,6676867.553333333,0.9725427173306993,6833382.357333333,6898437.717666665,6629833.319166668,6728498.677
dyn_rem,regular,384,1152,782535.6972443293,487496.84283499804,0.6229707405703028,777058.5942686647,789180.1904383473,483470.7317441755,491973.3008836144
dyn_rem,regular,4096,32768,17878096.383333333,17977328.95,1.0055505107780476,17786318.652916666,17975493.4925,17858102.10875,18100700.628749996
dyn_rem,regular,96,288,74005.92490562213,74080.4891169855,1.0010075438075865,73017.05696402963,75560.29563995585,73546.37711439563,74666.9115040604
dyn_rem,regular,96,96,32304.191908730027,24488.53082738131,0.7580604677117282,31949.156799867695,32712.97502884028,24351.07832132057,24637.7042376901
dyn_rem,regular,768,768,414047.26554773404,400181.4086526329,0.966511415365204,398672.63110517483,432991.7072111654,397208.5948045277,403413.33377381554
dyn_rem,regular,768,6144,5070997.90952381,2749321.4313689345,0.542165759170488,5039378.169880952,5103394.236666667,2727232.896347728,2774503.3646577983
dyn_rem,regular,224,1792,805385.2411711845,797513.7748207547,0.9902264581618317,800726.8334375388,810699.0365413604,790504.1242735187,806482.9886568028
dyn_rem,regular,768,384,251423.30353256493,259283.9548498412,1.0312646091544897,249238.37650786884,254066.56425530827,249051.4747089713,271665.70559933624
dyn_rem,regular,384,3072,2082069.0583214962,1268805.0941454214,0.6093962585315471,2066144.1608151337,2101875.365343701,1222514.6973149173,1326270.496346913
dyn_rem,regular,192,96,48796.08323531284,48302.97739246809,0.9898945609944386,48529.731249263,49120.7866439295,47872.9929099667,48737.219616800634
dyn_rem,regular,384,192,98623.23184283446,97586.44698900351,0.9894874175743585,97965.44230532086,99452.25648658973,96876.52595866448,98609.37538561485
dyn_rem,regular,4096,2048,1354100.9131964175,1340028.8598674394,0.9896078252426842,1344965.5119496714,1363749.9556955358,1328912.7969755265,1351482.2297159778
dyn_rem,regular,96,48,16530.642725471735,11288.405319423504,0.6828775811620094,16365.464457897218,16696.00835750896,11210.519057536396,11384.074291401064
dyn_rem,regular,1536,4608,2216021.5978313023,2256042.320449459,1.0180597168625625,2180627.06696042,2264327.3956687767,2165840.346906185,2366725.1922995476
dyn_rem,regular,1536,1536,860611.8361929691,853014.9754047404,0.9911727210006378,850589.6257948348,872270.134549762,821272.3582414192,892769.1694142094
dyn_rem,regular,3072,1536,987316.7602322345,967216.9470361153,0.9796419811698616,974709.8160662483,1003444.0320484044,960266.5482147872,975130.6952020639
dyn_rem,regular,192,192,108789.40972489219,109274.69561479396,1.004460782452345,106899.43690775927,111992.45218155018,107877.64422087913,110797.93076043062
dyn_rem,regular,1536,12288,12453922.844444444,6073466.061111112,0.48767493881017715,12344764.38861111,12564751.37361111,6005872.877083333,6147131.0372222215
dyn_rem,regular,224,112,44540.648091220115,42592.774543931795,0.9562675077538378,44117.08975808775,45019.98733952667,41754.9308781279,43893.123655740215
dyn_rem,regular,3072,9216,4764889.447619047,4749141.890476191,0.996695084468177,4742667.380952382,4787281.520952381,4711979.519047619,4788704.919166666
dyn_rem,regular,3072,24576,13368441.02222222,13227837.288888892,0.9894824136113101,13232703.266666666,13524889.409444444,13127567.4675,13334480.51111111
dyn_rem,regular,768,2304,1983526.4061105507,986800.5362411715,0.497498058609749,1924936.2020925935,2063680.0567616345,981919.1182121333,992690.4165729713
dyn_rem,regular,384,384,220839.29350303634,216494.43968131838,0.980325721239195,218521.92490117383,223683.63510116038,215093.77770052143,218093.23819760332
dyn_rem,regular,1536,768,479268.03659675294,478702.7255989618,0.9988204700613766,474204.919641464,484784.8672013816,474042.8708385826,484351.2136528429
dyn_rem,regular,4096,4096,2525885.7696522176,2595425.893083388,1.0275309850772647,2502410.7088238015,2551862.4035476795,2529890.56223495,2670953.74562968
dyn_rem,regular,224,224,101835.83477425035,99223.88386417381,0.9743513575956173,101248.02582069657,102518.19405669702,98742.36771544919,99734.23425321945
dyn_div,irregular,1573,12584,17972821.05,17665380.633333333,0.9828941480131931,17851683.06,18105494.731666666,17561066.975833334,17771968.840833336
dyn_div,irregular,3109,6218,3043815.9914543256,3008951.1527589234,0.9885456812128962,3017965.9379555257,3071511.5261117658,2981964.345251,3041503.421549296
dyn_div,irregular,233,466,147192.99962095317,148525.68439174138,1.009053995599112,146289.42596850824,148235.09326993718,147625.95941305457,149481.37958369157
dyn_div,irregular,3109,24872,40398754.93333333,41690912.333333336,1.031985079791007,40229882.740833335,40576306.15166666,41427709.9275,41955171.274166666
dyn_div,irregular,787,6296,5266348.347619047,7512101.606666666,1.4264346205018776,5226053.91095238,5310406.339523808,7459139.380833333,7570146.896833335
dyn_div,irregular,233,932,421964.8333676988,319657.47649900493,0.757545300511942,420384.2653424238,423770.44971393485,318219.0874012426,321367.0113346262
dyn_div,irregular,1573,6292,7446811.419999999,7423628.359999999,0.9968868474448357,7406112.513,7490900.401999998,7397408.327500001,7453773.4445
dyn_div,irregular,3109,3109,1419151.035199081,1420238.2106945107,1.0007660745533524,1410244.173185833,1427950.2815944075,1407917.8797856953,1433879.1209443568
dyn_div,irregular,233,1864,888713.1082757935,739208.7232691274,0.8317742996986711,854845.1260216386,931750.6643863237,706774.1999684263,779588.3825072051
dyn_div,irregular,233,233,75633.70984750365,79100.45550431818,1.045835985882543,75091.4413877598,76333.57881011945,76070.0371762725,82856.75863221766
dyn_div,irregular,3109,12436,19946982.8,20163279.583333332,1.0108435839897216,19880940.473333333,20019217.619583335,20004210.779166665,20331076.904583335
dyn_div,irregular,787,3148,1268496.7128611577,1242307.5942457607,0.9793542085289869,1257979.4860226614,1280822.4124667617,1231924.9362452126,1253822.9046072087
dyn_div,irregular,787,787,293256.2360002706,286692.80068461195,0.9776187698335848,281945.83325835323,306947.2072556922,284017.283342274,289908.6110441503
dyn_div,irregular,1573,3146,1320996.6350619085,1387401.7885237297,1.050268980025607,1272862.5311007423,1382130.1718904201,1341628.836613035,1444199.541291187
dyn_div,irregular,1573,1573,598212.4470122813,626008.0836163474,1.046464490571684,594723.0453882881,601832.8961808499,618727.6244740257,634888.0021214465
dyn_div,irregular,787,1574,580673.1468734344,587458.1573721129,1.01168473268518,578184.0077914225,583335.8824817216,582102.2298349057,593594.2784794441
dyn_rem,irregular,1573,12584,12577610.688888889,18166045.6,1.444316098609091,12503936.534722222,12675074.498611107,18053283.167916667,18291089.60875
dyn_rem,irregular,3109,6218,11176349.666666666,11390966.055555558,1.0192027267658763,11119292.965833332,11237818.998888891,11325351.264722222,11452493.954722222
dyn_rem,irregular,233,466,215023.50138430885,183446.69889588692,0.8531472035143494,213648.99258479278,216724.79492296695,182356.049809802,184629.95890788757
dyn_rem,irregular,3109,24872,41227546.36666667,41685822.53333333,1.0111157759084395,40938782.821666665,41529568.219166666,41346961.655,42031377.51916667
dyn_rem,irregular,787,6296,5251748.609523809,7638475.153333334,1.4544632124015429,5226605.990952382,5280111.4011904765,7577630.932166667,7698837.499999998
dyn_rem,irregular,233,932,422992.6813037389,353519.41708869947,0.8357577629927061,420743.9962466642,425574.6783095722,350621.36707209254,357485.49388539686
