family,bz_cutoff,d,q,nr_over_bz,nr_over_bz_lower,nr_over_bz_upper,nr_over_knuth,nr_over_knuth_lower,nr_over_knuth_upper
dyn_div,64,64,128,1.3089536287981858,1.303103523639456,1.315639493877551,1.3167417036535303,1.311586779860427,1.322829659269294
dyn_div,64,64,256,2.1393354825,2.123286747727273,2.163577035748106,2.1633324008621932,2.153417599666305,2.174844863968254
dyn_div,64,64,512,2.176828686357142,2.155890187632143,2.2000239332142857,2.1446387881084656,2.129547867037037,2.160602087747024
dyn_div,64,80,20,0.4966188232589535,0.4916134938654283,0.5033533364209938,0.50932010645686,0.5074763463790665,0.5109868718066359
dyn_div,64,80,40,0.5334428630166218,0.5297905304357593,0.5378308924842767,0.5367333946639964,0.533307614371829,0.540700975360703
dyn_div,64,80,80,0.6513071232647908,0.6477806898233225,0.6565595916486292,0.7492132010962302,0.7462763812178819,0.7518349560119048
dyn_div,64,80,160,1.0483921129691878,1.043700311970588,1.0521628055462184,1.2150219161000884,1.2045307164276342,1.228281586969632
dyn_div,64,80,320,1.7371359445068029,1.7272611410544216,1.7489972546874994,2.103420449251701,2.090376264595238,2.117550623426871
dyn_div,64,80,640,1.5099741128472222,1.5034830417760416,1.5176090822222221,1.7909852662003967,1.7856284159791664,1.7961840942132936
dyn_div,64,96,24,0.4169853394975198,0.41187933497292906,0.42502085883888896,0.42455770520240593,0.4221745464521626,0.4278371612268893
dyn_div,64,96,48,0.4820675678685516,0.47672048402926587,0.4891408485729166,0.48497021533432544,0.4831794215218254,0.4868404220426587
dyn_div,64,96,96,0.6463578993615781,0.6443803373284315,0.6484906982612045,0.7189748435626102,0.7166872057848324,0.7214370118187831
dyn_div,64,96,192,1.2171714686691086,1.2098160544749694,1.226612417471612,1.3437563973412698,1.3375203741269843,1.3497284445352566
dyn_div,64,96,384,1.7041184389285713,1.694706517261905,1.7149930971815475,1.9364148076190477,1.927625306111111,1.9465054492857143
dyn_div,64,96,768,1.43400455531746,1.4289609621031745,1.4386074788670635,1.6488058780952384,1.6414710780952382,1.6556263705555554
dyn_div,64,128,32,0.35454600160964705,0.3524431916204346,0.3567612821473455,,,
dyn_div,64,128,64,0.4695555222359897,0.46669867411678,0.47219945548017905,,,
dyn_div,64,128,128,0.7079758744425548,0.7045859136588718,0.7106392030536658,,,
dyn_div,64,128,256,1.1773106453747793,1.1717963869488537,1.1838718031184965,,,
dyn_div,64,128,512,1.2113282305238093,1.204051996172619,1.2210759550738095,,,
dyn_div,64,128,1024,1.303207096547619,1.2933293023809522,1.314701855,,,
dyn_div,64,160,40,0.3130886518270056,0.31160367426303087,0.31449934337837837,,,
dyn_div,64,160,80,0.4433617927509338,0.4416602621348038,0.44476319677871157,,,
dyn_div,64,160,160,0.6226043198526078,0.6212387080265025,0.6237146366680839,,,
